,Blue_champ_1,Blue_champ_2,Blue_champ_3,Blue_champ_4,Blue_champ_5,Red_champ_1,Red_champ_2,Red_champ_3,Red_champ_4,Red_champ_5,blueAssists,blueAvgLevel,blueCSPerMin,blueDeaths,blueDragons,blueEliteMonsters,blueExperienceDiff,blueFirstBlood,blueGoldDiff,blueGoldPerMin,blueHeralds,blueKills,blueTotalExperience,blueTotalGold,blueTotalJungleMinionsKilled,blueTotalMinionsKilled,blueTowersDestroyed,blueWardsDestroyed,blueWardsPlaced,blueWins,gameId,lowest_lvl_blue,lowest_lvl_red,redAssists,redAvgLevel,redCSPerMin,redDeaths,redDragons,redEliteMonsters,redExperienceDiff,redFirstBlood,redGoldDiff,redGoldPerMin,redHeralds,redKills,redTotalExperience,redTotalGold,redTotalJungleMinionsKilled,redTotalMinionsKilled,redTowersDestroyed,redWardsDestroyed,redWardsPlaced
48,Thresh,Senna,LeBlanc,Lee Sin,Renekton,Kindred,Camille,Ezreal,Malzahar,Sona,4.0,7.0,19.7,1.0,1.0,1.0,1165.0,1.0,2028.0,1582.3,0.0,5.0,17964.0,15823.0,48.0,197.0,0.0,3.0,17.0,1.0,4524934660.0,91.0,98.0,1.0,6.8,20.5,5.0,0.0,0.0,-1165.0,0.0,-2028.0,1379.5,0.0,1.0,16799.0,13795.0,46.0,205.0,0.0,3.0,13.0
49,Katarina,Nautilus,Fiora,Kai'Sa,Xin Zhao,Ekko,Leona,Kennen,Miss Fortune,Kassadin,2.0,6.8,22.0,5.0,1.0,1.0,-1885.0,1.0,-1866.0,1448.5,0.0,2.0,17287.0,14485.0,63.0,220.0,0.0,3.0,16.0,0.0,4464794186.0,87.0,105.0,4.0,7.4,25.3,2.0,0.0,0.0,1885.0,0.0,1866.0,1635.1,0.0,5.0,19172.0,16351.0,56.0,253.0,0.0,1.0,13.0
50,Nocturne,Varus,Xerath,Illaoi,Corki,Zoe,Irelia,Taliyah,Pantheon,Ashe,7.0,6.8,20.8,11.0,0.0,0.0,-1184.0,0.0,-2878.0,1579.0,0.0,4.0,17533.0,15790.0,47.0,208.0,0.0,6.0,34.0,1.0,4525996242.0,143.0,96.0,13.0,7.0,23.4,4.0,0.0,0.0,1184.0,1.0,2878.0,1866.8,0.0,11.0,18717.0,18668.0,44.0,234.0,0.0,10.0,24.0
51,Vladimir,Talon,Sett,Ezreal,Zac,Miss Fortune,Bard,Shyvana,Renekton,Akali,9.0,6.8,21.1,2.0,1.0,1.0,-1292.0,1.0,2394.0,1742.2,0.0,8.0,17192.0,17422.0,24.0,211.0,1.0,0.0,24.0,1.0,4526361954.0,60.0,46.0,3.0,7.0,21.0,8.0,0.0,0.0,1292.0,0.0,-2394.0,1502.8,0.0,2.0,18484.0,15028.0,76.0,210.0,0.0,5.0,36.0
52,Diana,Irelia,Elise,Nami,Aphelios,Wukong,Yasuo,Brand,Varus,Evelynn,7.0,6.4,19.6,7.0,1.0,1.0,-2554.0,1.0,-2164.0,1539.9,0.0,5.0,16243.0,15399.0,48.0,196.0,0.0,3.0,16.0,0.0,4511964473.0,81.0,88.0,8.0,7.0,21.4,5.0,0.0,0.0,2554.0,0.0,2164.0,1756.3,0.0,7.0,18797.0,17563.0,63.0,214.0,0.0,3.0,18.0
53,Senna,Sion,Sylas,Tahm Kench,Diana,Corki,Braum,Ekko,Pantheon,Ezreal,3.0,7.0,23.3,5.0,0.0,0.0,521.0,0.0,-554.0,1602.6,0.0,3.0,18490.0,16026.0,57.0,233.0,0.0,0.0,14.0,1.0,4521227315.0,54.0,84.0,6.0,6.8,23.4,3.0,1.0,1.0,-521.0,1.0,554.0,1658.0,0.0,5.0,17969.0,16580.0,44.0,234.0,0.0,1.0,11.0
54,Galio,Vayne,Sett,Orianna,Olaf,Taliyah,Ezreal,Yuumi,Shen,Gangplank,17.0,7.4,27.2,3.0,1.0,2.0,3244.0,1.0,5512.0,2101.6,1.0,12.0,20144.0,21016.0,59.0,272.0,1.0,3.0,18.0,1.0,4436503508.0,91.0,150.0,6.0,6.6,21.2,12.0,0.0,0.0,-3244.0,0.0,-5512.0,1550.4,0.0,3.0,16900.0,15504.0,56.0,212.0,0.0,1.0,50.0
55,Zed,Skarner,Vayne,Zoe,Zilean,Twisted Fate,Ekko,Darius,Varus,Morgana,3.0,7.6,24.9,4.0,1.0,1.0,2934.0,0.0,1217.0,1706.1,0.0,5.0,20292.0,17061.0,76.0,249.0,0.0,3.0,19.0,1.0,4510754518.0,117.0,125.0,6.0,6.6,21.8,5.0,0.0,0.0,-2934.0,1.0,-1217.0,1584.4,0.0,4.0,17358.0,15844.0,48.0,218.0,0.0,1.0,15.0
56,Jarvan IV,Kennen,Karma,Varus,Qiyana,Kayn,Zoe,Diana,Miss Fortune,Alistar,6.0,6.8,21.0,7.0,0.0,0.0,-51.0,0.0,-155.0,1613.2,0.0,5.0,17519.0,16132.0,50.0,210.0,0.0,1.0,16.0,0.0,4526478943.0,96.0,104.0,11.0,7.0,19.1,5.0,0.0,0.0,51.0,1.0,155.0,1628.7,0.0,7.0,17570.0,16287.0,54.0,191.0,0.0,3.0,21.0
57,Sylas,Senna,Tahm Kench,Zac,Akali,Lux,Aphelios,Singed,Qiyana,Gragas,6.0,7.0,21.2,7.0,0.0,0.0,857.0,1.0,295.0,1677.7,0.0,6.0,18587.0,16777.0,55.0,212.0,0.0,1.0,16.0,0.0,4492859847.0,162.0,85.0,7.0,7.0,21.8,6.0,1.0,1.0,-857.0,0.0,-295.0,1648.2,0.0,7.0,17730.0,16482.0,40.0,218.0,0.0,5.0,23.0
58,Lee Sin,Rumble,Rakan,Xayah,Sylas,Janna,Ezreal,Cassiopeia,Jarvan IV,Sett,10.0,7.0,20.7,3.0,1.0,1.0,1726.0,0.0,2391.0,1689.2,0.0,7.0,18221.0,16892.0,64.0,207.0,0.0,3.0,18.0,1.0,4520080755.0,48.0,114.0,1.0,6.6,19.0,7.0,0.0,0.0,-1726.0,1.0,-2391.0,1450.1,0.0,3.0,16495.0,14501.0,47.0,190.0,0.0,0.0,15.0
59,Xayah,Kled,Rakan,Fiddlesticks,Akali,Ezreal,Braum,Elise,Syndra,Illaoi,2.0,7.0,21.8,6.0,0.0,0.0,-1150.0,0.0,-993.0,1499.8,0.0,3.0,17859.0,14998.0,60.0,218.0,0.0,8.0,10.0,0.0,4516554886.0,115.0,143.0,6.0,7.0,23.6,3.0,1.0,1.0,1150.0,1.0,993.0,1599.1,0.0,6.0,19009.0,15991.0,55.0,236.0,0.0,3.0,39.0
60,Sett,Kha'Zix,Nautilus,Yasuo,Syndra,Vladimir,Pyke,Cassiopeia,Aatrox,Lee Sin,3.0,6.4,20.0,12.0,0.0,0.0,-2289.0,0.0,-4552.0,1420.2,0.0,3.0,16159.0,14202.0,42.0,200.0,0.0,1.0,11.0,0.0,4487407222.0,73.0,120.0,16.0,7.2,22.3,3.0,1.0,1.0,2289.0,1.0,4552.0,1875.4,0.0,12.0,18448.0,18754.0,35.0,223.0,0.0,3.0,14.0
61,Sett,Kalista,LeBlanc,Kha'Zix,Wukong,Rumble,Gragas,Yasuo,Nautilus,Corki,5.0,7.0,20.9,4.0,0.0,0.0,461.0,0.0,793.0,1684.0,0.0,8.0,18528.0,16840.0,51.0,209.0,0.0,2.0,16.0,0.0,4483489256.0,173.0,147.0,5.0,7.0,23.2,8.0,1.0,1.0,-461.0,1.0,-793.0,1604.7,0.0,4.0,18067.0,16047.0,48.0,232.0,0.0,2.0,19.0
62,Shyvana,Katarina,Fiora,Blitzcrank,Kai'Sa,Darius,Yasuo,Thresh,Kennen,Syndra,7.0,7.6,23.8,2.0,0.0,1.0,3179.0,0.0,3339.0,1773.1,1.0,7.0,20617.0,17731.0,80.0,238.0,0.0,2.0,12.0,1.0,4474787155.0,74.0,133.0,2.0,6.8,23.6,7.0,1.0,1.0,-3179.0,1.0,-3339.0,1439.2,0.0,2.0,17438.0,14392.0,46.0,236.0,0.0,1.0,11.0
63,Ezreal,Bard,Sylas,Renekton,Rengar,Tahm Kench,Senna,Diana,Rek'Sai,Neeko,11.0,7.6,23.4,3.0,1.0,1.0,2335.0,1.0,3039.0,1830.9,0.0,9.0,20268.0,18309.0,56.0,234.0,0.0,6.0,40.0,1.0,4466182344.0,120.0,57.0,3.0,7.0,22.3,9.0,0.0,0.0,-2335.0,0.0,-3039.0,1527.0,0.0,3.0,17933.0,15270.0,46.0,223.0,0.0,2.0,18.0
64,Nautilus,Kha'Zix,Kai'Sa,Pantheon,Zilean,Sett,Xayah,Maokai,Cassiopeia,Elise,6.0,6.8,21.6,9.0,0.0,1.0,1018.0,0.0,274.0,1700.5,1.0,7.0,18098.0,17005.0,56.0,216.0,0.0,5.0,13.0,1.0,4522637791.0,196.0,63.0,10.0,6.6,20.0,7.0,1.0,1.0,-1018.0,1.0,-274.0,1673.1,0.0,9.0,17080.0,16731.0,44.0,200.0,0.0,2.0,20.0
65,Zoe,Jax,Miss Fortune,Rek'Sai,Blitzcrank,Ziggs,Soraka,Ekko,Aatrox,Lee Sin,14.0,7.4,22.1,3.0,1.0,2.0,4018.0,1.0,6487.0,2056.7,1.0,15.0,19536.0,20567.0,42.0,221.0,1.0,5.0,27.0,1.0,4462139744.0,67.0,114.0,1.0,6.2,19.7,15.0,0.0,0.0,-4018.0,0.0,-6487.0,1408.0,0.0,3.0,15518.0,14080.0,46.0,197.0,0.0,6.0,19.0
66,Xerath,Taric,Ezreal,Ryze,Wukong,Sett,Rumble,Zilean,Aphelios,Graves,5.0,7.4,22.6,2.0,0.0,1.0,-295.0,1.0,1256.0,1664.9,1.0,7.0,19322.0,16649.0,47.0,226.0,0.0,1.0,17.0,1.0,4507824198.0,69.0,204.0,1.0,7.4,26.8,7.0,1.0,1.0,295.0,0.0,-1256.0,1539.3,0.0,2.0,19617.0,15393.0,63.0,268.0,0.0,6.0,16.0
67,Talon,Cassiopeia,Rek'Sai,Ryze,Yuumi,Sion,Ekko,Neeko,Thresh,Wukong,5.0,6.6,17.1,7.0,0.0,0.0,-2724.0,1.0,-2338.0,1532.1,0.0,7.0,17311.0,15321.0,44.0,171.0,0.0,3.0,19.0,0.0,4455008187.0,74.0,49.0,10.0,7.4,22.5,7.0,0.0,0.0,2724.0,0.0,2338.0,1765.9,0.0,7.0,20035.0,17659.0,47.0,225.0,0.0,3.0,15.0
68,Kled,Syndra,Olaf,Pyke,Azir,Sett,Jhin,Ivern,Qiyana,Xerath,4.0,7.0,24.0,6.0,0.0,1.0,1154.0,1.0,954.0,1714.6,1.0,5.0,19051.0,17146.0,67.0,240.0,0.0,1.0,17.0,1.0,4508109073.0,85.0,98.0,8.0,7.0,21.2,5.0,1.0,1.0,-1154.0,0.0,-954.0,1619.2,0.0,6.0,17897.0,16192.0,50.0,212.0,0.0,4.0,23.0
69,Zac,Graves,Orianna,Kai'Sa,Braum,Nami,Yasuo,Ornn,Jhin,Warwick,14.0,6.8,19.5,6.0,1.0,1.0,287.0,1.0,250.0,1805.6,0.0,11.0,17829.0,18056.0,54.0,195.0,0.0,3.0,14.0,1.0,4506217760.0,99.0,57.0,7.0,7.0,21.0,11.0,0.0,1.0,-287.0,0.0,-250.0,1780.6,1.0,6.0,17542.0,17806.0,59.0,210.0,1.0,2.0,268.0
70,Lee Sin,LeBlanc,Fiora,Xayah,Rakan,Morgana,Varus,Lucian,Gragas,Sylas,10.0,6.6,22.5,7.0,0.0,1.0,-237.0,0.0,-488.0,1573.5,1.0,5.0,17073.0,15735.0,47.0,225.0,0.0,4.0,15.0,0.0,4513928992.0,51.0,142.0,8.0,6.8,20.0,5.0,1.0,1.0,237.0,1.0,488.0,1622.3,0.0,7.0,17310.0,16223.0,48.0,200.0,0.0,3.0,19.0
71,Lee Sin,Orianna,Taric,Wukong,Mordekaiser,Syndra,Riven,Pantheon,Kalista,Leona,8.0,6.8,20.8,10.0,0.0,0.0,-1057.0,1.0,-2574.0,1483.9,0.0,5.0,16702.0,14839.0,32.0,208.0,0.0,3.0,18.0,0.0,4521764642.0,207.0,80.0,17.0,7.0,22.7,5.0,1.0,1.0,1057.0,0.0,2574.0,1741.3,0.0,10.0,17759.0,17413.0,29.0,227.0,0.0,4.0,20.0
72,Lulu,Evelynn,Yasuo,Wukong,Aphelios,Miss Fortune,Thresh,Jarvan IV,Orianna,Tryndamere,5.0,7.0,22.2,3.0,0.0,0.0,1597.0,0.0,1436.0,1656.4,0.0,5.0,18605.0,16564.0,63.0,222.0,0.0,3.0,15.0,1.0,4521747245.0,126.0,85.0,5.0,6.8,22.1,5.0,1.0,1.0,-1597.0,1.0,-1436.0,1512.8,0.0,3.0,17008.0,15128.0,52.0,221.0,0.0,4.0,14.0
73,Miss Fortune,Pyke,Nidalee,Rakan,Vladimir,Nasus,Bard,Kayn,Aphelios,Twisted Fate,5.0,7.0,23.4,3.0,1.0,1.0,788.0,1.0,-18.0,1558.2,0.0,5.0,18842.0,15582.0,55.0,234.0,0.0,5.0,26.0,1.0,4520523189.0,90.0,58.0,7.0,7.0,20.2,5.0,0.0,0.0,-788.0,0.0,18.0,1560.0,0.0,3.0,18054.0,15600.0,67.0,202.0,0.0,2.0,37.0
74,Syndra,Ekko,Riven,Rakan,Jinx,Kha'Zix,Azir,Thresh,Gnar,Lucian,7.0,7.0,22.5,5.0,0.0,0.0,-140.0,0.0,559.0,1721.2,0.0,7.0,18257.0,17212.0,60.0,225.0,0.0,2.0,16.0,1.0,4459957549.0,131.0,292.0,7.0,7.0,22.5,7.0,1.0,1.0,140.0,1.0,-559.0,1665.3,0.0,5.0,18397.0,16653.0,60.0,225.0,0.0,2.0,13.0
75,Rek'Sai,Twisted Fate,Cho'Gath,Blitzcrank,Syndra,Kayn,Xayah,Sion,Janna,Galio,16.0,7.2,23.0,5.0,0.0,1.0,4040.0,1.0,5330.0,2038.0,1.0,16.0,20228.0,20380.0,36.0,230.0,0.0,2.0,13.0,1.0,4486943775.0,102.0,85.0,3.0,6.6,17.3,16.0,1.0,1.0,-4040.0,0.0,-5330.0,1505.0,0.0,5.0,16188.0,15050.0,44.0,173.0,0.0,2.0,18.0
76,Riven,Taliyah,Senna,Nautilus,Twisted Fate,Caitlyn,Ekko,Sett,Nami,Elise,23.0,6.8,18.0,10.0,0.0,0.0,82.0,0.0,814.0,1913.9,0.0,14.0,17648.0,19139.0,28.0,180.0,0.0,4.0,16.0,0.0,4525170767.0,71.0,74.0,14.0,7.0,20.3,14.0,0.0,0.0,-82.0,1.0,-814.0,1832.5,0.0,10.0,17566.0,18325.0,46.0,203.0,0.0,3.0,19.0
77,Karthus,Thresh,Illaoi,Draven,Zed,Maokai,Ekko,Olaf,Caitlyn,Vladimir,10.0,7.4,27.6,4.0,0.0,1.0,1835.0,1.0,2334.0,1836.9,1.0,6.0,20686.0,18369.0,68.0,276.0,0.0,2.0,43.0,1.0,4520769690.0,73.0,116.0,2.0,7.2,24.9,6.0,1.0,1.0,-1835.0,0.0,-2334.0,1603.5,0.0,4.0,18851.0,16035.0,68.0,249.0,0.0,17.0,13.0
78,Senna,Tryndamere,Varus,Lee Sin,Sylas,Zac,Talon,Illaoi,Sett,Lulu,8.0,6.8,18.0,9.0,0.0,0.0,-525.0,0.0,-1281.0,1714.5,0.0,10.0,18179.0,17145.0,43.0,180.0,0.0,6.0,14.0,0.0,4445718276.0,96.0,60.0,9.0,7.0,21.2,10.0,0.0,0.0,525.0,1.0,1281.0,1842.6,0.0,9.0,18704.0,18426.0,62.0,212.0,0.0,1.0,35.0
79,Lee Sin,Wukong,LeBlanc,Xayah,Rakan,Ezreal,Yuumi,Rek'Sai,Riven,Fizz,1.0,7.0,23.3,2.0,0.0,0.0,1220.0,1.0,500.0,1481.4,0.0,2.0,18414.0,14814.0,60.0,233.0,0.0,8.0,20.0,1.0,4476906757.0,154.0,67.0,5.0,6.8,21.3,2.0,0.0,1.0,-1220.0,0.0,-500.0,1431.4,1.0,2.0,17194.0,14314.0,48.0,213.0,0.0,5.0,20.0
80,Shen,Aphelios,Ziggs,Ekko,Bard,Sylas,Graves,Renekton,Sett,Lucian,10.0,7.2,20.2,8.0,0.0,0.0,874.0,1.0,620.0,1735.0,0.0,9.0,18836.0,17350.0,45.0,202.0,0.0,0.0,73.0,0.0,4519712655.0,68.0,105.0,8.0,6.6,21.1,9.0,0.0,0.0,-874.0,0.0,-620.0,1673.0,0.0,8.0,17962.0,16730.0,49.0,211.0,0.0,2.0,16.0
81,Kai'Sa,Rakan,Maokai,Taliyah,Qiyana,Rek'Sai,Nasus,Ryze,Xayah,Yuumi,13.0,7.6,23.9,3.0,0.0,0.0,4581.0,1.0,5712.0,2018.3,0.0,13.0,20925.0,20183.0,48.0,239.0,0.0,5.0,15.0,1.0,4495300852.0,57.0,115.0,3.0,6.6,20.8,13.0,0.0,0.0,-4581.0,0.0,-5712.0,1447.1,0.0,3.0,16344.0,14471.0,36.0,208.0,0.0,3.0,14.0
82,Yasuo,Sett,Sylas,Senna,Vladimir,Olaf,Ezreal,Pyke,Orianna,Wukong,2.0,6.8,21.1,7.0,0.0,0.0,-2111.0,0.0,-3768.0,1541.2,0.0,3.0,17502.0,15412.0,45.0,211.0,0.0,2.0,13.0,1.0,4498068359.0,70.0,94.0,9.0,7.4,24.6,3.0,1.0,2.0,2111.0,1.0,3768.0,1918.0,1.0,7.0,19613.0,19180.0,64.0,246.0,1.0,3.0,16.0
83,Xerath,Quinn,Ezreal,Rengar,Senna,Syndra,Aatrox,Janna,Sejuani,Miss Fortune,2.0,7.2,23.0,8.0,1.0,2.0,-242.0,0.0,-2069.0,1610.1,1.0,5.0,18784.0,16101.0,68.0,230.0,0.0,1.0,11.0,1.0,4461785475.0,67.0,67.0,6.0,7.0,23.9,5.0,0.0,0.0,242.0,1.0,2069.0,1817.0,0.0,8.0,19026.0,18170.0,52.0,239.0,0.0,1.0,13.0
84,Nautilus,Wukong,Malphite,Ziggs,Miss Fortune,Pyke,Kindred,Cassiopeia,Maokai,Kai'Sa,5.0,6.4,19.1,13.0,0.0,0.0,-1784.0,0.0,-3983.0,1566.2,0.0,6.0,16109.0,15662.0,36.0,191.0,0.0,2.0,14.0,0.0,4507707770.0,116.0,66.0,13.0,7.2,21.8,6.0,1.0,1.0,1784.0,1.0,3983.0,1964.5,0.0,13.0,17893.0,19645.0,32.0,218.0,0.0,2.0,17.0
85,Xayah,Warwick,Camille,Syndra,Rakan,Qiyana,Thresh,Singed,Ziggs,Kindred,7.0,6.6,23.8,8.0,0.0,1.0,-606.0,0.0,-1845.0,1584.8,1.0,4.0,17347.0,15848.0,56.0,238.0,0.0,2.0,58.0,0.0,4515529980.0,128.0,99.0,14.0,6.8,22.4,4.0,1.0,1.0,606.0,1.0,1845.0,1769.3,0.0,8.0,17953.0,17693.0,60.0,224.0,0.0,1.0,17.0
86,Draven,Kha'Zix,Leona,Shen,Viktor,Taric,Aatrox,Elise,Kennen,Ezreal,1.0,6.8,24.9,3.0,1.0,1.0,-294.0,0.0,-326.0,1511.9,0.0,1.0,18281.0,15119.0,64.0,249.0,0.0,2.0,48.0,1.0,4492589905.0,123.0,75.0,3.0,7.4,22.8,1.0,0.0,1.0,294.0,1.0,326.0,1544.5,1.0,3.0,18575.0,15445.0,53.0,228.0,0.0,0.0,13.0
87,Azir,Jax,Tahm Kench,Varus,Nocturne,Ekko,Veigar,Sett,Senna,Shyvana,3.0,6.8,25.5,3.0,0.0,1.0,-143.0,0.0,1047.0,1666.4,1.0,2.0,18036.0,16664.0,55.0,255.0,1.0,0.0,14.0,0.0,4519268347.0,66.0,172.0,4.0,7.0,24.7,2.0,1.0,1.0,143.0,1.0,-1047.0,1561.7,0.0,3.0,18179.0,15617.0,54.0,247.0,0.0,3.0,14.0
88,Varus,Cassiopeia,Jarvan IV,Fiora,Leona,Vladimir,Rumble,Graves,Miss Fortune,Talon,10.0,7.0,24.1,3.0,1.0,1.0,-270.0,1.0,739.0,1573.0,0.0,4.0,18484.0,15730.0,52.0,241.0,0.0,2.0,17.0,1.0,4462148925.0,156.0,74.0,5.0,7.0,23.9,4.0,0.0,0.0,270.0,0.0,-739.0,1499.1,0.0,3.0,18754.0,14991.0,59.0,239.0,0.0,2.0,16.0
89,Ziggs,Karma,Irelia,Rek'Sai,Sylas,Pantheon,Kog'Maw,Kha'Zix,Pyke,Lulu,7.0,7.2,23.5,2.0,1.0,1.0,2608.0,0.0,2436.0,1706.2,0.0,6.0,20216.0,17062.0,64.0,235.0,0.0,1.0,18.0,1.0,4525216073.0,106.0,79.0,3.0,7.0,20.3,6.0,0.0,1.0,-2608.0,1.0,-2436.0,1462.6,1.0,2.0,17608.0,14626.0,60.0,203.0,0.0,5.0,12.0
90,Ivern,Kalista,Taric,Syndra,Sett,Kai'Sa,Yuumi,Lee Sin,Fiora,Ekko,6.0,7.0,26.1,4.0,0.0,0.0,2471.0,1.0,2803.0,1763.1,0.0,6.0,18398.0,17631.0,53.0,261.0,0.0,5.0,31.0,1.0,4511226212.0,164.0,220.0,7.0,6.6,18.8,6.0,0.0,1.0,-2471.0,0.0,-2803.0,1482.8,1.0,4.0,15927.0,14828.0,46.0,188.0,0.0,5.0,18.0
91,Azir,Leona,Pantheon,Diana,Kalista,Lee Sin,Gragas,Syndra,Morgana,Camille,8.0,7.8,23.9,1.0,0.0,0.0,3747.0,1.0,3502.0,1748.3,0.0,9.0,20101.0,17483.0,60.0,239.0,0.0,5.0,16.0,1.0,4456521073.0,248.0,85.0,2.0,6.6,21.4,9.0,0.0,0.0,-3747.0,0.0,-3502.0,1398.1,0.0,1.0,16354.0,13981.0,52.0,214.0,0.0,5.0,17.0
92,Ekko,Nautilus,Kalista,Draven,Evelynn,Heimerdinger,Graves,Thresh,Shyvana,Camille,3.0,6.6,20.6,11.0,0.0,0.0,-2492.0,0.0,-3397.0,1600.7,0.0,5.0,17004.0,16007.0,64.0,206.0,0.0,1.0,12.0,0.0,4474587492.0,63.0,44.0,8.0,7.2,22.9,5.0,1.0,1.0,2492.0,1.0,3397.0,1940.4,0.0,11.0,19496.0,19404.0,68.0,229.0,1.0,3.0,18.0
93,Irelia,Shaco,Morgana,Vel'Koz,Ezreal,Syndra,Aphelios,Shen,Gragas,Braum,9.0,6.8,22.1,3.0,1.0,2.0,1289.0,1.0,3588.0,1770.6,1.0,8.0,17285.0,17706.0,52.0,221.0,0.0,2.0,16.0,1.0,4477325608.0,95.0,122.0,4.0,6.6,19.0,8.0,0.0,0.0,-1289.0,0.0,-3588.0,1411.8,0.0,3.0,15996.0,14118.0,52.0,190.0,0.0,1.0,45.0
94,Galio,Maokai,Kha'Zix,Kalista,Jax,Vladimir,Aphelios,Lulu,Rengar,Viktor,12.0,7.4,23.6,3.0,0.0,0.0,3774.0,0.0,4879.0,1890.4,0.0,10.0,18979.0,18904.0,52.0,236.0,0.0,2.0,15.0,1.0,4526474246.0,82.0,57.0,7.0,6.2,16.2,10.0,0.0,0.0,-3774.0,1.0,-4879.0,1402.5,0.0,3.0,15205.0,14025.0,55.0,162.0,0.0,1.0,16.0
95,Graves,Nautilus,Taliyah,Rek'Sai,Kennen,Braum,Ornn,Lulu,Aphelios,Fiora,8.0,6.8,23.6,6.0,1.0,1.0,-1354.0,1.0,-473.0,1638.8,0.0,6.0,17884.0,16388.0,40.0,236.0,0.0,2.0,15.0,1.0,4483754983.0,78.0,210.0,9.0,7.4,23.5,6.0,0.0,0.0,1354.0,0.0,473.0,1686.1,0.0,6.0,19238.0,16861.0,69.0,235.0,0.0,2.0,19.0
96,Darius,Aphelios,Pyke,Syndra,Karthus,Ryze,Cassiopeia,Ashe,Wukong,Yuumi,6.0,7.4,23.8,3.0,0.0,0.0,2029.0,1.0,1735.0,1697.5,0.0,8.0,19639.0,16975.0,64.0,238.0,0.0,5.0,12.0,0.0,4502385665.0,73.0,130.0,2.0,6.6,22.8,8.0,0.0,0.0,-2029.0,0.0,-1735.0,1524.0,0.0,3.0,17610.0,15240.0,39.0,228.0,0.0,1.0,17.0
97,Nami,Olaf,Kalista,Syndra,Irelia,Taliyah,Xerath,Wukong,Kled,Zilean,5.0,7.0,24.9,9.0,1.0,1.0,-1881.0,1.0,-224.0,1745.1,0.0,6.0,18484.0,17451.0,59.0,249.0,0.0,2.0,16.0,1.0,4495666281.0,139.0,141.0,10.0,7.4,20.5,6.0,0.0,0.0,1881.0,0.0,224.0,1767.5,0.0,9.0,20365.0,17675.0,38.0,205.0,0.0,2.0,16.0
